#,Ejercicio,Trimestre,Proveedor,"Clave única",Fecha,"Monto total"
73,2018,enero-marzo,"NOTICIERO CHIHUAHUA DIGITAL",5495,2018-03-23,"$ 46,000.00"
74,2018,enero-marzo,WWW.PAUSA.MX,66CA,2018-03-27,"$ 12,000.00"
75,2018,enero-marzo,"NOTICIERO CHIHUAHUA DIGITAL",7480,2018-03-23,"$ 127,704.80"
76,2018,enero-marzo,"Jessica Arely Medina Valerio",7B79,2018-03-26,"$ 78,000.00"
77,2018,enero-marzo,NOTITODO,8152,2018-03-28,"$ 14,450.00"
78,2018,enero-marzo,"Jessica Arely Medina Valerio",9674,2018-03-26,"$ 60,000.00"
79,2018,enero-marzo,"Imagen Radio Comercial, S.A. de C.V.",999,2018-03-30,"$ 213,150.00"
80,2018,enero-marzo,"Radio Juarense, S.A. de C.V.",A-3720,2018-03-27,"$ 57,000.00"
81,2018,enero-marzo,"Radio Juarense, S.A. de C.V.",A-3721,2018-03-27,"$ 29,999.99"
82,2018,enero-marzo,"Radio Juarense, S.A. de C.V.",A-3722,2018-03-27,"$ 17,400.00"
83,2018,enero-marzo,"NN NUESTRAS NOTICIAS",A1D6,2018-03-27,"$ 61,434.31"
84,2018,enero-marzo,www.alcontacto.com.mx,A64E,2018-03-28,"$ 12,500.00"
85,2018,enero-marzo,"Imprenta Siglo XXV, S.A. de C.V.",A656,2018-02-13,"$ 116,000.00"
86,2018,enero-marzo,"Imprenta Siglo XXV, S.A. de C.V.",A660,2018-02-19,"$ 232,000.00"
87,2018,enero-marzo,"Imprenta Siglo XXV, S.A. de C.V.",A671,2018-03-21,"$ 232,000.00"
88,2018,enero-marzo,"Imprenta Siglo XXV, S.A. de C.V.",A672,2018-03-21,"$ 255,200.00"
89,2018,enero-marzo,WWW.MASNOTICIAS.NET,A843,2018-03-28,"$ 41,664.00"
90,2018,enero-marzo,"Radio América de México, S.A. de C.V.","AC 5000090",2018-03-28,"$ 78,880.00"
91,2018,enero-marzo,"Radio América de México, S.A. de C.V.","AC 5000091",2018-03-28,"$ 105,892.00"
92,2018,enero-marzo,"Radio América de México, S.A. de C.V.","AC 5000092",2018-03-28,"$ 105,176.81"
93,2018,enero-marzo,"Cia. Periodística El Sol de Chihuahua, S.A. de C.V.",AXAB0000204722,2018-03-28,"$ 2,219,352.58"
94,2018,enero-marzo,"SUEÑOS y REALIDADES",B10,2018-03-27,"$ 18,000.00"
95,2018,enero-marzo,"SUEÑOS y REALIDADES",B11,2018-04-04,"$ 18,000.00"
96,2018,enero-marzo,"SUEÑOS y REALIDADES",B12,2018-04-04,"$ 18,960.00"
