#,Ejercicio,Factura,Fecha,Proveedor,Clasificación,Categoría,Subcategoría,Tipo,"Campaña o aviso","Monto gastado"
59,2020,2600,15.06.2020,"Enconcreto, CIDECH, y FINGUACH","Servicios de difusión en medios de comunicación","Medios impresos",Revistas,"SIN ESPECIFICAR","SIN ESPECIFICAR","$ 50,872.20"
60,2020,A-83,15.06.2020,"""Plan de vuelo"", Radio 102.5 FM","Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",Campañas,"CALL CENTER","$ 104,400.00"
61,2020,"PRC 15290",15.06.2020,"Promotora de Radio de Chihuahua, S.A. de C.V.","Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",Campañas,"CALL CENTER","$ 562,945.68"
62,2020,0325,16.06.2020,"Periodismo Referente, S. de R.L. de C.V.","Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",Campañas,"juntos por una mejor ciudad ","$ 220,390.00"
63,2020,32-,13.05.2020,noticiasaldia.com.mx,"Servicios de difusión en medios de comunicación",Internet,"Medios Digitales","Avisos Institucionales","BECAS ACADÉMICAS 20","$ 34,800.00"
64,2020,F7F6,28.04.2020,alcontacto.com.mx,"Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",Campañas,"covid 20","$ 104,000.00"
65,2020,82FA,15.06.2020,www.noticiaschihuahua.mx,"Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",Campañas,"Por tu salud","$ 185,600.00"
66,2020,GF-35980,11.06.2020,"Televisora de Occidente, S.A. de C.V.","Servicios de difusión en medios de comunicación",Televisión,"Televisión abierta local",Campañas,"cont. filtros sanitarios","$ 352,286.00"
67,2020,9658,12.06.2020,"Fénix Comunicaciones, S.A. de C.V.","Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",Campañas,"4 años  consecutivos trabajando juntos utiliza cubre bocas","$ 120,000.00"
68,2020,APAB000011618,15.06.2020,"Cia. Periodística El Sol de Chihuahua, S.A. de C.V.","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","Avisos Institucionales","pago becas academicas","$ 3,899,999.99"
69,2020,PD-846,22.04.2020,"Plataforma en Difusión, S.A. de C.V.","Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",Campañas,"CALL CENTER","$ 149,501.30"
70,2020,"ELP 367",15.06.2020,"El Pueblo Familiar, S.A. de C.V.","Servicios de difusión en medios de comunicación",Internet,"Medios Digitales","Avisos Institucionales","Call center  medidas del Covid","$ 136,000.00"
71,2020,"MYA 84554",14.05.2020,"Multimedios, S.A. de C.V.","Servicios de difusión en medios de comunicación",Televisión,"Televisión abierta local",Campañas,DESPENSAS,"$ 743,415.00"
72,2020,"RL 8794",22.04.2020,"Radio Lobo, S.A. de C.V.","Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",Campañas,"Prevencion Coronavirus v2","$ 325,003.12"
73,2020,496,15.06.2020,"Merboca, S.A. de C.V.","Servicios de difusión en medios de comunicación","Medios impresos",Revistas,Campañas,"Conmemoración del día de la mujer","$ 226,920.00"
74,2020,EH6898,15.06.2020,"Tv Azteca, S.A.B. de C.V.","Servicios de difusión en medios de comunicación",Televisión,"Televisión abierta local",Campañas,"Tarjeta mujer al súper","$ 1,154,142.00"
75,2020,-276,19.06.2020,"Consultores en Comunicación y Medios Masivos, S.A. de C.V.","Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",Campañas,"AISLAMIENTO SIN VIOLENCIA","$ 839,100.00"
76,2020,"AC 5000632",03.06.2020,"Radio América de México, S.A. de C.V.","Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",Campañas,DESPENSAS,"$ 232,969.00"
77,2020,"PRC 15199",11.05.2020,"Promotora de Radio de Chihuahua, S.A. de C.V.","Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",Campañas,"Paso superior Valle Escondido.","$ 396,720.00"
78,2020,B56B,30.04.2020,"Periódicos Digitales de Chihuahua, S.A. de C.V.","Servicios de difusión en medios de comunicación",Internet,"Medios Digitales","Avisos Institucionales","BECAS ACADÉMICAS 20","$ 47,334.91"
79,2020,"IRCRF 447",14.05.2020,"Imagen Radio Comercial, S.A. de C.V.","Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",Campañas,"CALL CENTER","$ 343,650.00"
80,2020,"A 2441",23.04.2020,"Radio Impulsora X.E.E., S.A","Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",Campañas,"Paso superior Valle Escondido.","$ 255,499.86"
81,2020,D28D,15.06.2020,alcontacto.com.mx,"Servicios de difusión en medios de comunicación",Internet,"Medios Digitales","Avisos Institucionales","medidas de covid19","$ 174,000.00"
82,2020,A908,13.05.2020,"Imprenta Siglo XXV, S.A. de C.V.","Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",Campañas,"FRENTE AL COVID19","$ 3,105,273.60"
83,2020,GF-35944,05.06.2020,"Televisora de Occidente, S.A. de C.V.","Servicios de difusión en medios de comunicación",Televisión,"Televisión abierta local","Avisos Institucionales","Entrega de despensas","$ 287,100.00"
84,2020,-41,18.06.2020,"Porlalibre, S.A. de C.V.","Servicios de difusión en medios de comunicación",Internet,"Medios Digitales","Avisos Institucionales","Call center  medidas del Covid","$ 46,400.00"
85,2020,2283,13.05.2020,"Editorial E Imagen Publica, S.A. de C.V.","Servicios de difusión en medios de comunicación","Medios impresos",Revistas,Campañas,"Conmemoración del día de la mujer","$ 81,200.00"
86,2020,TOSCHI-1173,19.06.2020,"Comercializadora Tosgon, S.A. de C.V.","Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",Campañas,"PREVENCIÓN COVID V5","$ 288,000.00"
87,2020,PDCR/59719,29.04.2020,"Publicaciones del Chuviscar, S.A. de C.V.","Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",Campañas,OBRAS,"$ 591,600.00"
88,2020,"MYA 85189",16.06.2020,"Multimedios, S.A. de C.V.","Servicios de difusión en medios de comunicación",Televisión,"Televisión abierta local","Avisos Institucionales","Cont. despensas","$ 1,112,559.00"
89,2020,GE49281,26.06.2020,"Expansión, S.A. de C.V.","Servicios de difusión en medios de comunicación",Internet,"Medios Digitales","Avisos Institucionales","Entregando becas","$ 400,000.00"
90,2020,"CAB 85",27.04.2020,"Cabafam, S.A. de C.V.","Servicios de difusión en medios de comunicación",Televisión,"Televisión abierta local",Campañas,"Predial marzo 2020","$ 748,200.00"
91,2020,F8F5,16.06.2020,www.elpuntero.com.mx,"Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",Campañas,"UTILIZA CUBRE BOCAS","$ 101,500.00"
92,2020,"AC 5000639",18.06.2020,"Radio América de México, S.A. de C.V.","Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",Campañas,DESPENSAS,"$ 100,966.40"
93,2020,PDCR/59718,29.04.2020,"Publicaciones del Chuviscar, S.A. de C.V.","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","Avisos Institucionales","resultados becas discapacidad","$ 2,000,000.00"
94,2020,C243,04.06.2020,"Jessica Arely Medina Valerio","Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",Campañas,"FRENTE AL COVID19","$ 190,080.00"
95,2020,2020,18.06.2020,"Periódicos Digitales de Chihuahua, S.A. de C.V.","Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",Campañas,OBRAS,"$ 77,465.08"
96,2020,"IRCRF 458",15.06.2020,"Imagen Radio Comercial, S.A. de C.V.","Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",Campañas,"CALL CENTER","$ 516,345.00"
97,2020,34-,17.06.2020,noticiasaldia.com.mx,"Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",Campañas,"FRENTE AL COVID19","$ 40,080.00"
98,2020,5,15.06.2020,alinstante.com.mx,"Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",Campañas,"FRENTE AL COVID19","$ 209,728.00"
99,2020,246,04.05.2020,elresumen.net,"Servicios de difusión en medios de comunicación",Internet,"Medios Digitales","Avisos Institucionales","BECAS DEL ADULTO MAYOR","$ 17,400.00"
100,2020,08,27.04.2020,"Unidad Corporativa de Televisión, S.A. de C.V.","Servicios de difusión en medios de comunicación",Televisión,"Televisión abierta local",Campañas,"CONT. QUEDATE EN CASA","$ 1,548,600.00"
101,2020,-38,02.06.2020,"Porlalibre, S.A. de C.V.","Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",Campañas,"MODERNIZACIÓN EN PERIFERICO DE LA JUVENTUD","$ 232,000.00"
102,2020,2308,16.06.2020,"Editorial E Imagen Publica, S.A. de C.V.","Servicios de difusión en medios de comunicación","Medios impresos",Revistas,"Avisos Institucionales","Resultados de becas","$ 130,890.00"
103,2020,A-582,12.06.2020,"Comercializadora Imation, S.A. de C.V.","Servicios de difusión en medios de comunicación","Medios complementarios",Espectaculares,Campañas,"QUÉDATE EN CASA","$ 350,000.00"
104,2020,PDCR/60098,17.06.2020,"Publicaciones del Chuviscar, S.A. de C.V.","Servicios de difusión en medios de comunicación",Internet,"Medios Digitales","Avisos Institucionales","Entregando becas","$ 658,400.00"
105,2020,"Hugo Valles 03",13.05.2020,"""Expectativa Noticias""","Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",Campañas,OBRAS,"$ 121,800.00"
106,2020,CBAF,04.05.2020,"NN NUESTRAS NOTICIAS","Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",Campañas,"QUÉDATE EN CASA","$ 101,220.00"
107,2020,"CAB 96",12.06.2020,"Cabafam, S.A. de C.V.","Servicios de difusión en medios de comunicación",Televisión,"Televisión abierta local",Campañas,"CONT. QUEDATE EN CASA","$ 1,107,800.00"
108,2020,D3F1,16.06.2020,www.elpuntero.com.mx,"Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",Campañas,"call center  medidas del covid 19","$ 120,600.00"
109,2020,"NLC 357",29.04.2020,"Nueva Línea Comunicación, S.C.","Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",Campañas,"QUÉDATE EN CASA","$ 78,717.60"
110,2020,PDCR/60093,17.06.2020,"Publicaciones del Chuviscar, S.A. de C.V.","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","Avisos Institucionales","Modificacion conv. nacional op 14-2020","$ 1,999,999.00"
111,2020,"55 FCH",24.04.2020,"Radioflash del Norte, S.A. de C.V.","Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",Campañas,"CALL CENTER","$ 413,144.00"
112,2020,11,11.06.2020,www.todoespolitica.com.mx,"Servicios de difusión en medios de comunicación",Internet,"Medios Digitales","Avisos Institucionales","Emprendedores Ruralaes","$ 235,712.00"
113,2020,266,29.04.2020,"La Ventana del Juicio.mx","Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",Campañas,"CALL CENTER","$ 50,112.00"
